Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
China Southern;Airbus A330-200 (332) V1;32;17.2;On-Demand TV;None;None;No;Standard
China Southern;Boeing 777-200 (772) V1;31-32;17.2;On-Demand TV;None;None;No;Standard
China Southern;Boeing 777-200 (772) V2;32;17.2;On-Demand TV;None;None;No;Standard
China Southern;Boeing 777-300ER (77W);31-33;17.2;On-Demand TV;None;None;No;Standard
China Southern;Boeing 787-8 (788);31-33;17.2;On-Demand TV;None;None;No;Standard
China Southern;Airbus A380-800 (388);32;17.2;On-Demand TV;None;None;No;Standard
China Southern;Airbus A330-300 (333) V2;32-33;17.2;Overhead TV;None;None;No;Standard
China Southern;Airbus A330-200 (332) V2;29;17.2;On-Demand TV;None;None;No;Standard
Condor;Boeing 767-300ER (763) V3;30;17;Seatback TV;None;None;No;Standard
Condor;Boeing 767-300ER (763) V1;30;17;On-Demand TV;None;None;Yes;Standard
Condor;Boeing 757-300 (753);29;17;Overhead TV;None;None;No;Standard
Delta;Airbus A330-300 (333);31-32;18;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Airbus A330-300 (333);35;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Airbus A350-900 (359);31-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 757-200 (75S);35;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 757-200 (75S);31-33;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76H/76Z);31-32;17.9;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76H/76Z);35;17.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76L);35;17.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76L);31-32;17.9;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76T/76W);35;17.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76T/76W);31-32;17.9;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76Z) V2;35;17.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-300ER (76Z) V2;31-32;17.9;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Boeing 767-400ER (76D);35;17.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 767-400ER (76D);31-32;17.9;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Boeing 777-200ER/LR (77L);35;18.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Delta;Boeing 777-200ER/LR (77L);31-32;18.5;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Airbus A330-200 (332);31-32;18;On-Demand TV;Some Seats;AC Power;Yes;Standard
Delta;Airbus A330-200 (332);35;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Dragonair;Airbus A330-300 (333) V1;31-33;18;On-Demand TV;All Seats;AC Power;No;Standard
Dragonair;Airbus A330-300 (333) V2;31-33;18;On-Demand TV;All Seats;AC Power;No;Standard
Edelweiss Air;Airbus A340-300 (343);36;17;On-Demand TV;None;None;No;Standard
Edelweiss Air;Airbus A340-300 (343);31;17;On-Demand TV;None;None;No;Standard
Edelweiss Air;Airbus A330-300 (333);36;17;On-Demand TV;None;None;No;Standard
Edelweiss Air;Airbus A330-300 (333);31;17;On-Demand TV;None;None;No;Standard
Egyptair;Airbus A330-300 (333);33;18;Overhead TV;Some Seats;AC Power;Yes;Standard
Egyptair;Airbus A330-200 (332);32;18;Overhead TV;None;None;No;Standard
EL AL;Boeing 777-200ER (772) V2;32;18;On-Demand TV;All Seats;AC Power;No;Standard
EL AL;Boeing 767-300 (763) V1;33-34;18;Overhead TV;None;None;No;Standard
EL AL;Boeing 767-300 (763) V1;36;18;Portable Device;All Seats;AC Power;No;Standard
EL AL;Boeing 767-300 (763) V2;33-34;18;Overhead TV;None;None;No;Standard
EL AL;Boeing 767-300 (763) V2;36;18;Portable Device;All Seats;AC Power;No;Standard
EL AL;Boeing 767-300 (763) V3;33-34;18;Overhead TV;None;None;No;Standard
EL AL;Boeing 747-400 (744) V1;32;18;On-Demand TV;Some Seats;AC Power;No;Standard
EL AL;Boeing 777-200ER (772) V1;32;18;On-Demand TV;All Seats;AC Power;No;Standard
EL AL;Boeing 777-200ER (772) V1;36;18;On-Demand TV;All Seats;AC Power;No;Standard
EL AL;Boeing 747-400 (744) V1;36;18;On-Demand TV;All Seats;AC Power;No;Standard
EL AL;Boeing 787-9 (789);30-31;17;On-Demand TV;None;AC Power;No;Standard
EL AL;Boeing 747-400 (744) V2;32;18.0;On-Demand TV;All Seats;AC Power;No;Standard
EL AL;Boeing 767-300 (763) V3;36;18;Portable Device;All Seats;AC Power;No;Standard
Emirates;Airbus A380-800 (388) Three Class V2;32-34;18.0;On-Demand TV;All Seats;AC Power;Yes;Standard
Emirates;Airbus A380-800 (388) Two Class;32-34;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Emirates;Boeing 777-200LR (772) Three Class;33-34;17;Seatback TV;All Seats;AC Power;No;Standard
Emirates;Boeing 777-300ER (77W) Three Class V1;32;17.0;On-Demand TV;None;None;No;Standard
Emirates;Boeing 777-300ER (77W) Three Class V2;32;17;Seatback TV;None;None;No;Standard
Emirates;Boeing 777-300ER (77W) Two Class;33-34;17.0;On-Demand TV;All Seats;AC Power;No;Standard
Emirates;Airbus A380-800 (388) Three Class V1;32-34;18.0;On-Demand TV;All Seats;AC Power;Yes;Standard
Ethiopian Airlines;Boeing 767-300ER (763);30-33;17;Seatback TV;None;None;No;Standard
Ethiopian Airlines;Boeing 777-200LR (77L);32;17;On-Demand TV;None;None;No;Standard
Ethiopian Airlines;Boeing 777-300ER (77W);32;17;On-Demand TV;None;None;No;Standard
Ethiopian Airlines;Boeing 787-8 (788);33;17;On-Demand TV;All Seats;AC Power;No;Standard
Ethiopian Airlines;Airbus A350-900 (350);32;18;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Airbus A330-200 V2 (332);31.5-33;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Etihad;Airbus A330-200 V1 (332);31.5-33;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Etihad;Airbus A340-500 (345);31.5-33;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Airbus A340-600 (346);31.5-33;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Airbus A380-800 (388);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Boeing 777-200LR (77L);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Boeing 777-300ER (77W) Three Class;31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Etihad;Boeing 777-300ER (77W) Two Class V1;31.5-33;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Etihad;Boeing 777-300ER (77W) Two Class V2;31.5-33;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Etihad;Boeing 787-9 (789) V1;31-32;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Etihad;Airbus A330-300 (333);31.5-33;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Eurowings;Airbus A330-200 (332);30-32;17;On-Demand TV;None;None;Yes;Standard
EVA Air;Airbus A330-200 (332);33;17.0;On-Demand TV;None;None;No;Standard
EVA Air;Boeing 777-300ER (77B) V4;31-32;17;On-Demand TV;None;None;Yes;Standard
EVA Air;Boeing 777-300ER (77M) V3;31-32;18.3;On-Demand TV;None;None;Yes;Standard
EVA Air;Airbus A330-300 (333);31-32;18.3;On-Demand TV;All Seats;AC Power;No;Standard
EVA Air;Boeing 777-300ER (77A/77W) V2;31-32;18.3;On-Demand TV;None;None;Yes;Standard
Fiji Airways;Boeing 737-700 (73H);29-32;17;Overhead TV;None;None;No;Standard
Fiji Airways;Boeing 737-800 (738) V2;32;17;Overhead TV;None;None;No;Standard
Fiji Airways;Airbus A330-300 (333);31-32;17.3;On-Demand TV;None;None;No;Standard
Fiji Airways;Boeing 737-800 (738) V1;32;17;Overhead TV;None;None;No;Standard
Fiji Airways;Airbus A330-200 (332);31-32;18;On-Demand TV;None;None;No;Standard
Finnair;Airbus A330-300 (333) V2;32;18;On-Demand TV;All Seats;AC Power;No;Standard
Finnair;Airbus A330-300 (333) V2;35-37;18;On-Demand TV;All Seats;AC Power;No;Standard
Finnair;Airbus A350-900 V1 (350);31;18;On-Demand TV;None;None;Yes;Standard
Finnair;Airbus A350-900 V1 (350);35;18;On-Demand TV;None;None;Yes;Standard
Finnair;Airbus A330-300 (333) V1;32;18;On-Demand TV;All Seats;AC Power;No;Standard
Finnair;Airbus A330-300 (333) V1;35-37;18;On-Demand TV;All Seats;AC Power;No;Standard
French bee;Airbus A350-900 (359);32;16-17;On-Demand TV;All Seats;AC Power;Yes;Standard
French bee;Airbus A330-300 (333);32;16-17;On-Demand TV;All Seats;AC Power;Yes;Standard
Garuda Indonesia;Airbus A330-200 (332);32-33;17;On-Demand TV;None;None;Yes;Standard
Garuda Indonesia;Airbus A330-300 (333) V1;33-34;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Garuda Indonesia;Airbus A330-300 (333) V2;33-34;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Garuda Indonesia;Boeing 777-300ER (77W) V1;32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Garuda Indonesia;Boeing 777-300ER (77W) V2;32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Gulf Air;Airbus A330-200 (332) V1;30-33;18;On-Demand TV;None;None;No;Standard
